"","level_id","data_type","estimand","sigma","tau","n_time_points","n_ind_per_cluster","n_extra_time_points","true_model","analysis_model","n_reps","n_clusters","ICC","true_tate","mean_est_ME","mean_est_OLS","mean_est_se_ME","mean_est_se_OLS","mean_est_se_OLS_CR2","mean_est_se_OLS_CR3","mean_est_var_ME","mean_est_var_OLS","mean_est_var_OLS_CR2","mean_est_var_OLS_CR3","monte_carlo_se_ME","monte_carlo_se_OLS","bias_est_ME","bias_est_OLS","bias_est_ME_pct","bias_est_OLS_pct","MSE_ME","MSE_OLS","CP_ME","CP_OLS","CP_OLS_CR2","CP_OLS_CR3","Power_ME","Power_OLS","Power_OLS_CR2","Power_OLS_CR3","RMSE_ME","RMSE_OLS","precision_ME","precision_OLS","precision_OLS_CR2","precision_OLS_CR3"
"1",1,"normal","IT",1,0.333333333333333,10,30,0,"IT","IT/ATE",1000,18,0.1,6,5.99922247128342,6.00269704509505,0.0470545744803871,0.037122099868648,0.136341487692556,0.136341487692556,0.00221439469634186,0.00137854301896837,0.0195831760411346,0.0225403212781258,0.047420730548181,0.142394025946059,-0.00077752871658317,0.0026970450950502,-0.0129588119430528,0.04495075158417,0.00224708151094258,0.0202630566187465,0.946,0.408,0.927,0.927,1,1,1,1,0.0474033913443182,0.14234836359701,451.590676970092,725.403550154238,51.0642399322507,44.364939951874
"2",2,"normal","IT",1,0.333333333333333,10,30,0,"IT","ETI/ETATE",1000,18,0.1,6,6.00327823520305,6.00038372329543,0.692239041370576,0.403229149595971,1.79200290774894,1.79200290774894,0.479338026239712,0.162651735983373,3.42499191361033,4.24680540054707,0.079411123026709,0.210716272046669,0.00327823520304758,0.000383723295427659,0.0546372533841264,0.00639538825712765,0.00631056715994925,0.0443570932015081,1,0.999,1,1,1,1,0.984,0.984,0.0794390782924201,0.210611237120691,2.08621045120236,6.1481052996706,0.29197149226139,0.235471114327768
"3",3,"normal","IT",1,0.333333333333333,10,30,0,"IT","CTI/CTATE",1000,18,0.1,6,5.99791931583741,5.99608194601602,0.391106461769099,0.315464940244529,1.04656274840534,1.04656274840534,0.152981333226526,0.0995514206282043,1.17458211392344,1.60219712945649,0.0475958554349709,0.145516692008284,-0.0020806841625938,-0.00391805398398482,-0.0346780693765634,-0.0653008997330804,0.00226742933571653,0.0211692836924021,1,1,1,1,1,1,1,1,0.0476175318104218,0.14549667931744,6.53674522838195,10.0450600673466,0.851366616387261,0.62414292324892
