"","level_id","data_type","estimand","sigma","tau","n_time_points","n_ind_per_cluster","n_extra_time_points","true_model","analysis_model","n_reps","n_clusters","ICC","true_tate","mean_est_ME","mean_est_OLS","mean_est_se_ME","mean_est_se_OLS","mean_est_se_OLS_CR2","mean_est_se_OLS_CR3","mean_est_var_ME","mean_est_var_OLS","mean_est_var_OLS_CR2","mean_est_var_OLS_CR3","monte_carlo_se_ME","monte_carlo_se_OLS","bias_est_ME","bias_est_OLS","bias_est_ME_pct","bias_est_OLS_pct","MSE_ME","MSE_OLS","CP_ME","CP_OLS","CP_OLS_CR2","CP_OLS_CR3","Power_ME","Power_OLS","Power_OLS_CR2","Power_OLS_CR3","RMSE_ME","RMSE_OLS","precision_ME","precision_OLS","precision_OLS_CR2","precision_OLS_CR3"
"1",1,"normal","CTATE",1,0.333333333333333,10,30,0,"CTI","IT/ATE",1000,18,0.1,1.325,1.00020145328234,1.00054860018085,0.0546508980100864,0.0432222841889699,0.337418649838041,0.337418649838041,0.00298704110344078,0.00186882270074514,0.115700386874632,0.135134420160902,0.0482014713107293,0.142989605858127,-0.324798546717658,-0.324451399819146,-24.5130978654836,-24.4868980995582,0.107815154404585,0.125694292200683,0,0.046,0.975,0.975,1,1,0.982,0.982,0.328352180447435,0.354533908393376,334.779457453095,535.09623978844,8.64301345062534,7.40003915219617
"2",2,"normal","CTATE",1,0.333333333333333,10,30,0,"CTI","ETI/ETATE",1000,18,0.1,1.325,-0.0342878842014569,0.853312687128354,0.797436204029037,0.463001165310228,2.93134817673894,2.93134817673894,0.635979272559244,0.214446209213347,8.84876843067337,10.5924061557959,0.0793827870840619,0.21402652072074,-1.35928788420146,-0.471687312871646,-102.587764845393,-35.599042480879,1.85395887739522,0.268250465344328,0.989,0.98,1,1,0,0.398,0,0,1.36160158541154,0.51792901573896,1.5723782883299,4.66317405967818,0.113010076807254,0.0944072560371773
"3",3,"normal","CTATE",1,0.333333333333333,10,30,0,"CTI","CTI/CTATE",1000,18,0.1,1.325,1.32209749874599,1.33004982213564,0.391297585746569,0.315958769965182,1.06299365213225,1.06299365213225,0.153130825156512,0.0998637700681331,1.22145098280448,1.67776083917841,0.0491253421955253,0.142863379477811,-0.00290250125401296,0.00504982213564371,-0.219056698416073,0.381118651746695,0.00241931046011118,0.0204150359542268,1,1,1,1,1,1,0.082,0.082,0.0491864865599402,0.142881195243555,6.53036381785263,10.0136415770979,0.81869842840846,0.596032507523356
