"","level_id","data_type","estimand","sigma","tau","n_time_points","n_ind_per_cluster","n_extra_time_points","true_model","analysis_model","n_reps","n_clusters","ICC","true_tate","mean_est","mean_est_se","mean_est_var","monte_carlo_se","bias_est","bias_est_pct","MSE","CP","Power","RMSE","precision"
"1",1,"normal","ETATE",1,0.333333333333333,10,30,0,"ETI","IT/ATE",1000,18,0.1,2.83333333333333,-1.19023267187254,0.0660294525804553,0.0043601879731595,0.0493387684386834,-4.02356600520587,-142.008211948442,16.1915152780053,0,1,4.02386819838887,229.34791026346
"2",2,"normal","ETATE",1,0.333333333333333,10,30,0,"ETI","ETI/ETATE",1000,18,0.1,2.83333333333333,2.83110365380296,0.69227282967646,0.47937222753673,0.0766074185857073,-0.00222967953037707,-0.0786945716603671,0.00586779935659159,1,1,0.0766015623639074,2.08606160840509
"3",3,"normal","ETATE",1,0.333333333333333,10,30,0,"ETI","CTI/CTATE",1000,18,0.1,2.83333333333333,-1.1103475175868,0.519534784084595,0.269937098794801,0.0492878973022357,-3.94368085092014,-139.188735914828,15.5550455214378,0,0.967,3.94398852957737,3.70456674708567
